assessment_name,url,remote_testing_support,adaptive_irt_support,duration,test_type
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,No,No,Not specified,Not specified
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,No,No,Not specified,Not specified
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,No,No,Not specified,Not specified
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,Not specified,Not specified
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,Not specified,Not specified
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,Not specified,Not specified
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,No,No,Not specified,Not specified
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,Not specified,Not specified
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,Not specified,Not specified
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,Not specified,Not specified
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,No,No,Not specified,Not specified
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,No,No,Not specified,Not specified
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,No,No,Not specified,Not specified
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,No,No,Not specified,Not specified
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,No,No,Not specified,Not specified
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,No,No,Not specified,Not specified
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,No,No,Not specified,Not specified
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,No,No,Not specified,Not specified
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,No,No,Not specified,Not specified
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,No,No,Not specified,Not specified
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,No,No,Not specified,Not specified
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,No,No,Not specified,Not specified
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,No,No,Not specified,Not specified
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,No,No,Not specified,Not specified
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,No,No,Not specified,Not specified
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,No,No,Not specified,Not specified
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,No,No,Not specified,Not specified
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,No,No,Not specified,Not specified
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,No,No,Not specified,Not specified
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,No,No,Not specified,Not specified
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,No,No,Not specified,Not specified
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,No,No,Not specified,Not specified
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,No,No,Not specified,Not specified
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,No,No,Not specified,Not specified
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,No,No,Not specified,Not specified
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,No,No,Not specified,Not specified
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,No,No,Not specified,Not specified
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,No,No,Not specified,Not specified
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,No,No,Not specified,Not specified
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,No,No,Not specified,Not specified
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,No,No,Not specified,Not specified
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,No,No,Not specified,Not specified
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,No,No,Not specified,Not specified
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,No,No,Not specified,Not specified
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,No,No,Not specified,Not specified
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,No,No,Not specified,Not specified
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,No,No,Not specified,Not specified
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,No,No,Not specified,Not specified
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,No,No,Not specified,Not specified
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,No,No,Not specified,Not specified
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,No,No,Not specified,Not specified
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,No,No,Not specified,Not specified
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,No,No,Not specified,Not specified
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,No,No,Not specified,Not specified
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,No,No,Not specified,Not specified
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,No,No,Not specified,Not specified
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,No,No,Not specified,Not specified
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,No,No,Not specified,Not specified
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,No,No,Not specified,Not specified
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,No,No,Not specified,Not specified
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,No,No,Not specified,Not specified
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,No,No,Not specified,Not specified
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,No,No,Not specified,Not specified
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,No,No,Not specified,Not specified
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,No,No,Not specified,Not specified
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,No,No,Not specified,Not specified
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,No,No,Not specified,Not specified
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,No,No,Not specified,Not specified
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,No,No,Not specified,Not specified
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,No,No,Not specified,Not specified
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,No,No,Not specified,Not specified
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,No,No,Not specified,Not specified
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,No,No,Not specified,Not specified
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,No,No,Not specified,Not specified
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,No,No,Not specified,Not specified
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,No,No,Not specified,Not specified
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,No,No,Not specified,Not specified
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,No,No,Not specified,Not specified
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,No,No,Not specified,Not specified
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,No,No,Not specified,Not specified
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,No,No,Not specified,Not specified
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,No,No,Not specified,Not specified
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,No,No,Not specified,Not specified
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,No,No,Not specified,Not specified
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,No,No,Not specified,Not specified
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,No,No,Not specified,Not specified
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,No,No,Not specified,Not specified
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,No,No,Not specified,Not specified
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,No,No,Not specified,Not specified
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,No,No,Not specified,Not specified
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,No,No,Not specified,Not specified
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,No,No,Not specified,Not specified
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,No,No,Not specified,Not specified
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,No,No,Not specified,Not specified
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,No,No,Not specified,Not specified
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,No,No,Not specified,Not specified
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,No,No,Not specified,Not specified
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,No,No,Not specified,Not specified
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,No,No,Not specified,Not specified
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,No,No,Not specified,Not specified
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,No,No,Not specified,Not specified
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,No,No,Not specified,Not specified
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,No,No,Not specified,Not specified
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,No,No,Not specified,Not specified
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,No,No,Not specified,Not specified
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,No,No,Not specified,Not specified
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,No,No,Not specified,Not specified
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,No,No,Not specified,Not specified
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,No,No,Not specified,Not specified
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,No,No,Not specified,Not specified
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,No,No,Not specified,Not specified
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,No,No,Not specified,Not specified
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,No,No,Not specified,Not specified
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,No,No,Not specified,Not specified
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,No,No,Not specified,Not specified
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,No,No,Not specified,Not specified
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,No,No,Not specified,Not specified
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,No,No,Not specified,Not specified
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,No,No,Not specified,Not specified
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,No,No,Not specified,Not specified
Verify Interactive Process Monitoring,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-process-monitoring/,No,No,Not specified,Not specified
Virtual Assessment and Development Centers,https://www.shl.com/solutions/products/product-catalog/view/virtual-assessment-and-development-centers/,No,No,Not specified,Not specified
Visual Basic for Applications (New),https://www.shl.com/solutions/products/product-catalog/view/visual-basic-for-applications-new/,No,No,Not specified,Not specified
Visual Comparison - UK,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-uk/,No,No,Not specified,Not specified
Visual Comparison - US,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-us/,No,No,Not specified,Not specified
VLSI and Embedded Systems (New),https://www.shl.com/solutions/products/product-catalog/view/vlsi-and-embedded-systems-new/,No,No,Not specified,Not specified
What Is The Value - US,https://www.shl.com/solutions/products/product-catalog/view/what-is-the-value-us/,No,No,Not specified,Not specified
Workplace Administration Skills (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-administration-skills-new/,No,No,Not specified,Not specified
Workplace Health and Safety (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new/,No,No,Not specified,Not specified
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-customer-service-new/,No,No,Not specified,Not specified
WriteX - Email Writing (Managerial) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-managerial-new/,No,No,Not specified,Not specified
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,No,No,Not specified,Not specified
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,No,No,Not specified,Not specified
Written Spanish,https://www.shl.com/solutions/products/product-catalog/view/written-spanish/,No,No,Not specified,Not specified
Zabbix (New),https://www.shl.com/solutions/products/product-catalog/view/zabbix-new/,No,No,Not specified,Not specified
360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,No,No,Not specified,Not specified
360° Multi-Rater Feedback System (MFS),https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,No,No,Not specified,Not specified
